-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                               cudaEventRecordWithFlags         0.03%     555.455us         0.03%     555.455us       1.174us     121.184us         0.01%     121.184us       0.256us           473
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     102.659us         0.01%     102.659us       2.852us            36
                                     aten::masked_fill_         0.02%     350.416us         0.03%     637.359us      18.210us     100.348us         0.01%     100.348us       2.867us            35
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     100.348us         0.01%     100.348us       2.867us            35
                                 aten::_index_put_impl_         0.03%     542.403us         0.13%       2.401ms      68.602us      99.651us         0.01%     227.039us       6.487us            35
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      97.633us         0.01%      97.633us       2.639us            37
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us      96.162us         0.01%      96.162us       2.747us            35
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      95.581us         0.01%      95.581us       2.731us            35
                                              aten::add         0.10%       1.824ms         0.19%       3.543ms      15.747us      92.609us         0.00%      92.609us       0.412us           225
triton_red_fused__to_copy_add_clone_mean_min_latency...         0.00%       0.000us         0.00%       0.000us       0.000us      87.810us         0.00%      87.810us       2.509us            35
                                   cudaDriverGetVersion         0.00%       2.672us         0.00%       2.672us       0.081us      76.576us         0.00%      76.576us       2.320us            33
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      74.531us         0.00%      74.531us       1.096us            68
                    _vllm_fa3_C::get_scheduler_metadata         0.02%     390.886us         0.07%       1.235ms      35.289us      71.968us         0.00%      71.968us       2.056us            35
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us      71.968us         0.00%      71.968us       2.056us            35
                                     triton_red_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      68.798us         0.00%      68.798us       1.966us            35
triton_poi_fused_add_clone_copy_expand_index_mul_neg...         0.00%       0.000us         0.00%       0.000us       0.000us      64.610us         0.00%      64.610us       1.846us            35
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 1.896s
Self CUDA time total: 1.890s
