-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
## Call CompiledFxGraph fjzavahpaevvtzflxa6djfwdaa7v...         0.00%       0.000us         0.00%       0.000us       0.000us      34.462us         0.00%      34.462us       1.378us            25
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      34.173us         0.00%      34.173us       1.367us            25
                                              aten::sub         0.03%     273.290us         0.05%     389.204us       7.784us      28.992us         0.00%      28.992us       0.580us            50
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      28.992us         0.00%      28.992us       1.160us            25
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      27.837us         0.00%      27.837us       1.071us            26
                                  cudaStreamIsCapturing         0.01%      73.283us         0.01%      73.283us       0.489us      24.770us         0.00%      24.770us       0.165us           150
                                        cudaEventRecord         0.02%     136.925us         0.02%     136.925us       1.095us      24.258us         0.00%      24.258us       0.194us           125
                               cudaEventRecordWithFlags         0.01%      62.841us         0.01%      62.841us       0.838us      15.712us         0.00%      15.712us       0.209us            75
                                         cudaEventQuery         0.03%     233.904us         0.03%     235.168us       2.138us       5.472us         0.00%       5.472us       0.050us           110
                    cudaThreadExchangeStreamCaptureMode         0.00%      17.829us         0.00%      17.829us       0.255us       3.200us         0.00%       3.200us       0.046us            70
                                   cudaDriverGetVersion         0.00%       1.721us         0.00%       1.721us       0.069us       1.600us         0.00%       1.600us       0.064us            25
                                          ProfilerStep*        79.65%     681.724ms        96.24%     823.699ms      32.948ms       0.000us         0.00%       8.906ms     356.238us            25
                 execute_context_0(0)_generation_67(67)         2.91%      24.870ms        16.13%     138.083ms       5.523ms       0.000us         0.00%       6.925ms     277.001us            25
                                   cudaEventSynchronize         0.01%     104.123us         0.01%     104.123us       4.165us       0.000us         0.00%       0.000us       0.000us            25
                                            aten::slice         0.29%       2.490ms         0.35%       3.017ms       2.046us       0.000us         0.00%       0.000us       0.000us          1475
                                       aten::as_strided         0.08%     704.462us         0.08%     704.462us       0.391us       0.000us         0.00%       0.000us       0.000us          1800
                                        cudaMemcpyAsync         0.30%       2.594ms         0.30%       2.594ms       6.486us       0.000us         0.00%       0.000us       0.000us           400
                                       aten::lift_fresh         0.00%      18.727us         0.00%      18.727us       0.187us       0.000us         0.00%       0.000us       0.000us           100
                                          aten::flatten         0.01%      54.650us         0.01%     112.436us       4.497us       0.000us         0.00%       0.000us       0.000us            25
                                             aten::view         0.03%     256.945us         0.03%     256.945us       1.028us       0.000us         0.00%       0.000us       0.000us           250
                                     aten::index_select         0.05%     426.864us         0.14%       1.164ms      23.280us       0.000us         0.00%      50.337us       1.007us            50
                                           aten::detach         0.01%      71.494us         0.01%      71.494us       1.430us       0.000us         0.00%       0.000us       0.000us            50
                                               aten::to         0.03%     266.011us         0.42%       3.596ms      13.077us       0.000us         0.00%       1.191ms       4.332us           275
                                     aten::resolve_conj         0.00%      14.038us         0.00%      14.038us       0.281us       0.000us         0.00%       0.000us       0.000us            50
                                      aten::resolve_neg         0.00%       5.974us         0.00%       5.974us       0.119us       0.000us         0.00%       0.000us       0.000us            50
                                       cudaLaunchKernel         0.36%       3.094ms         0.36%       3.094ms       5.157us       0.000us         0.00%       0.000us       0.000us           600
                                          aten::reshape         0.03%     240.599us         0.11%     962.832us       6.419us       0.000us         0.00%     715.931us       4.773us           150
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 855.884ms
Self CUDA time total: 859.158ms
