source,scenario,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,peer_phase,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,provenance,valid_for_default,default_readiness
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,38,38,31.586159706115723,8,peer_decode,31.586159706115723,31.600831985473633,31.56540870666504,31.6014404296875,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,39,39,31.529407501220703,7,peer_decode,31.529407501220703,31.554527282714844,31.519775390625,31.555456161499023,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,40,40,31.54595184326172,6,peer_decode,31.54595184326172,31.5963191986084,31.536256790161133,31.601152420043945,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,41,41,35.56694412231445,5,peer_decode,35.56694412231445,35.58406448364258,35.56169509887695,35.58406448364258,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,42,42,35.18475341796875,4,peer_decode,35.18475341796875,35.18697738647461,35.1778564453125,35.18697738647461,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,44,44,33.353248596191406,21,peer_decode,33.353248596191406,33.47612762451172,32.9090576171875,38.38079833984375,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,45,45,37.703617095947266,547,peer_decode,37.703617095947266,38.13248062133789,36.594337463378906,38.473697662353516,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,46,46,36.68340873718262,8278,peer_decode,36.68340873718262,37.17843246459961,35.33964920043945,37.629791259765625,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,47,47,35.88119888305664,8420,peer_decode,35.88119888305664,36.40687942504883,34.76921463012695,37.01299285888672,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,48,48,35.10409736633301,8072,peer_decode,35.10409736633301,35.546016693115234,33.95423889160156,41.21446228027344,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,49,49,40.06748962402344,7654,peer_decode,40.06748962402344,40.45859146118164,39.12451171875,41.27356719970703,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,50,50,39.61529731750488,7584,peer_decode,39.61529731750488,40.004478454589844,38.822208404541016,40.42755126953125,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,51,51,38.925968170166016,7190,peer_decode,38.925968170166016,39.2784309387207,37.92335891723633,39.70809555053711,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,52,52,37.864688873291016,7176,peer_decode,37.864688873291016,38.26838302612305,36.93062210083008,38.94892883300781,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,53,53,37.18769645690918,6774,peer_decode,37.18769645690918,37.57600021362305,36.07904052734375,37.99692916870117,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,54,54,36.419456481933594,6347,peer_decode,36.419456481933594,36.89311981201172,35.40310287475586,37.46684646606445,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,55,55,35.356863021850586,6642,peer_decode,35.356863021850586,35.903839111328125,34.05215835571289,36.640830993652344,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,56,56,33.712127685546875,2373,peer_decode,33.712127685546875,34.40083312988281,32.93027114868164,35.777950286865234,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,57,57,39.65998458862305,4,peer_decode,39.65998458862305,39.66495895385742,39.657470703125,39.66495895385742,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
