framework,version,device,model,topology,phase,row_kind,category,kernel_source,bucket_tokens,decode_batch,hidden_size,topk,moe_ep_size,quant_runtime,latency,provenance
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,48,48,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,35.10409736633301,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,49,49,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,40.06748962402344,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,50,50,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,39.61529731750488,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,51,51,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,38.925968170166016,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,52,52,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,37.864688873291016,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,53,53,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,37.18769645690918,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,54,54,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,36.419456481933594,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,55,55,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,35.356863021850586,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,56,56,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,33.712127685546875,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,57,57,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,39.65998458862305,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,90,45,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,50.05980682373047,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,94,47,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,48.62521553039551,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,108,54,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,373.55377197265625,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,138,47,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,65.14766693115234,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,163,55,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,65.42060852050781,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,225,54,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,74.13452911376953,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,226,54,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,74.05265426635742,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,240,46,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,71.03324890136719,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,312,53,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,87.68175888061523,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,313,53,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,87.63846206665039,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,384,52,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,104.11164855957031,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,385,52,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,104.00788497924805,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,435,53,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,108.74671936035156,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,451,51,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,111.28800201416016,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,452,51,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,111.22017669677734,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,526,50,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,130.65127563476562,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,527,50,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,130.55475616455078,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,574,52,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,130.5850372314453,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,621,49,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,148.76876831054688,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,622,49,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,148.5165023803711,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,647,51,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,144.39161682128906,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,683,52,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,417.2624740600586,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,728,50,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,145.74451446533203,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,746,48,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,157.901123046875,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,747,48,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,157.5353775024414,phase446_b2b_event_step_bucket_peer_tagged
