source,row_type,scenario,ctx_tokens,decode_batch,event_count,confidence,sim_charge_ms,event_forward_busy_median_ms,wall_elapsed_median_ms,busy_minus_sim_ms,wall_minus_busy_ms,busy_gap_share,wall_gap_share,mechanism_candidate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,49,7724,high,29.762383,39.993328,42.690000,10.230945,2.696672,0.791402,0.208598,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,50,7672,high,29.966939,39.638800,42.310000,9.671861,2.671200,0.783587,0.216413,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,51,7256,high,30.171494,38.893841,41.580000,8.722347,2.686159,0.764548,0.235452,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,52,7264,high,37.368430,37.829201,40.540000,0.460771,2.710799,0.145282,0.854718,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,53,6840,high,30.581947,37.107489,39.790000,6.525542,2.682511,0.708678,0.291322,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,54,7392,high,30.786503,36.339567,39.000000,5.553064,2.660433,0.676090,0.323910,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,55,6040,high,30.991058,35.438223,38.120000,4.447165,2.681777,0.623818,0.376182,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,56,2080,high,31.196956,34.395424,37.080000,3.198468,2.684576,0.543676,0.456324,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,57,4,low,31.401511,41.325600,45.120000,9.924089,3.794400,0.723410,0.276590,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,45,45,4,low,36.062971,674.327545,677.710000,638.264574,3.382455,0.994728,0.005272,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,47,47,8,low,36.887450,49.853216,53.135000,12.965766,3.281784,0.798014,0.201986,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,54,54,12,low,38.730814,65.996033,68.640000,27.265219,2.643967,0.911600,0.088400,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,55,55,4,low,38.969334,66.344593,69.280000,27.375259,2.935407,0.903156,0.096844,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,108,55,4,low,40.724669,87.540176,90.180000,46.815507,2.639824,0.946622,0.053378,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,799,54,4,low,74.621494,733.848328,737.230000,659.226834,3.381672,0.994896,0.005104,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,1194,43,4,low,91.239877,1119.709412,1123.520000,1028.469535,3.810588,0.996309,0.003691,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
