source,scenario,phase,category,bucket_tokens,decode_batch,hit,miss_reason,bucket_min,bucket_max,decode_batch_min,decode_batch_max,count
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,19,19,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,20,20,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,21,21,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,22,22,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,23,23,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,24,24,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,25,25,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,26,26,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,27,27,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,28,28,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,29,29,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,30,30,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,31,31,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,32,32,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,33,33,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,34,34,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,35,35,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,36,36,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,37,37,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,38,38,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,39,39,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,40,40,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,41,41,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,42,42,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,43,43,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,44,44,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,45,45,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,46,46,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,47,47,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,48,48,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,49,49,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,50,50,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,51,51,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,52,52,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,53,53,false,interpolation_gap,2,64,2,64,1
