alignment_key,alignment_key_type,engine_step_id,dp_rank,source,scenario,iteration,phase,scheduled_context_tokens,scheduled_decode_tokens,scheduled_total_tokens,scheduled_context_reqs,scheduled_decode_reqs,scheduled_total_reqs,max_num_batched_tokens,max_num_seqs,forward_token_count,forward_regime,cudagraph_runtime_mode,topology_key,tp,dp,moe_tp,moe_ep,valid_for_default,perf_database,diagnostic_only
engine_dp:1:step:516,engine_core_dp_step,516,1,cb_sim_vllm_like,32000x1000_b16,516,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:517,engine_core_dp_step,517,1,cb_sim_vllm_like,32000x1000_b16,517,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:518,engine_core_dp_step,518,1,cb_sim_vllm_like,32000x1000_b16,518,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:519,engine_core_dp_step,519,1,cb_sim_vllm_like,32000x1000_b16,519,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:520,engine_core_dp_step,520,1,cb_sim_vllm_like,32000x1000_b16,520,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:521,engine_core_dp_step,521,1,cb_sim_vllm_like,32000x1000_b16,521,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:522,engine_core_dp_step,522,1,cb_sim_vllm_like,32000x1000_b16,522,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:523,engine_core_dp_step,523,1,cb_sim_vllm_like,32000x1000_b16,523,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:524,engine_core_dp_step,524,1,cb_sim_vllm_like,32000x1000_b16,524,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:525,engine_core_dp_step,525,1,cb_sim_vllm_like,32000x1000_b16,525,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:526,engine_core_dp_step,526,1,cb_sim_vllm_like,32000x1000_b16,526,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:527,engine_core_dp_step,527,1,cb_sim_vllm_like,32000x1000_b16,527,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:528,engine_core_dp_step,528,1,cb_sim_vllm_like,32000x1000_b16,528,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:529,engine_core_dp_step,529,1,cb_sim_vllm_like,32000x1000_b16,529,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:530,engine_core_dp_step,530,1,cb_sim_vllm_like,32000x1000_b16,530,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:531,engine_core_dp_step,531,1,cb_sim_vllm_like,32000x1000_b16,531,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:532,engine_core_dp_step,532,1,cb_sim_vllm_like,32000x1000_b16,532,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:533,engine_core_dp_step,533,1,cb_sim_vllm_like,32000x1000_b16,533,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:534,engine_core_dp_step,534,1,cb_sim_vllm_like,32000x1000_b16,534,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:535,engine_core_dp_step,535,1,cb_sim_vllm_like,32000x1000_b16,535,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:536,engine_core_dp_step,536,1,cb_sim_vllm_like,32000x1000_b16,536,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:537,engine_core_dp_step,537,1,cb_sim_vllm_like,32000x1000_b16,537,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:538,engine_core_dp_step,538,1,cb_sim_vllm_like,32000x1000_b16,538,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:539,engine_core_dp_step,539,1,cb_sim_vllm_like,32000x1000_b16,539,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:540,engine_core_dp_step,540,1,cb_sim_vllm_like,32000x1000_b16,540,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:541,engine_core_dp_step,541,1,cb_sim_vllm_like,32000x1000_b16,541,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:542,engine_core_dp_step,542,1,cb_sim_vllm_like,32000x1000_b16,542,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:543,engine_core_dp_step,543,1,cb_sim_vllm_like,32000x1000_b16,543,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:544,engine_core_dp_step,544,1,cb_sim_vllm_like,32000x1000_b16,544,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:545,engine_core_dp_step,545,1,cb_sim_vllm_like,32000x1000_b16,545,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:546,engine_core_dp_step,546,1,cb_sim_vllm_like,32000x1000_b16,546,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:547,engine_core_dp_step,547,1,cb_sim_vllm_like,32000x1000_b16,547,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:548,engine_core_dp_step,548,1,cb_sim_vllm_like,32000x1000_b16,548,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:549,engine_core_dp_step,549,1,cb_sim_vllm_like,32000x1000_b16,549,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:550,engine_core_dp_step,550,1,cb_sim_vllm_like,32000x1000_b16,550,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:551,engine_core_dp_step,551,1,cb_sim_vllm_like,32000x1000_b16,551,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:552,engine_core_dp_step,552,1,cb_sim_vllm_like,32000x1000_b16,552,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:553,engine_core_dp_step,553,1,cb_sim_vllm_like,32000x1000_b16,553,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:554,engine_core_dp_step,554,1,cb_sim_vllm_like,32000x1000_b16,554,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:555,engine_core_dp_step,555,1,cb_sim_vllm_like,32000x1000_b16,555,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:556,engine_core_dp_step,556,1,cb_sim_vllm_like,32000x1000_b16,556,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
