section,scenario,side,metric,value,target,status,source,note
track_b_attribution,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,cost_replay_factor,0.724531,,,,
track_b_attribution,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,residual_after_cost_replay,1.118007,,,,
track_b_attribution,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,modal_mixed_sim_over_real,0.366825,,,,
track_b_attribution,K2.5-tp8ep8-8k2k-bt65536,real_vs_sim,verdict,mixed_step_undercharge_table_missing,,fail,,
scoreboard,K2.5-tp8ep8-8k2k-bt65536,validate,current_error_ratio,1.234521,<=1.15,fail,docs/iter_gap_investigation/phase458_validate_ab.csv,sim=153.102; real=124.017
track_b_step_cost,K2.5-tp4ep8dp2-8k2k-bt65536,real,representative_large_mixed_step_ms,7522.430000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_dp2_8k2k_bt65536/K2.5-tp4ep8dp2-8k2k-bt65536/serve.log,ctx=65529; ctx_reqs=9; decode_batch=7
track_b_step_cost,K2.5-tp4ep8dp2-8k2k-bt65536,sim,representative_large_mixed_step_ms,7266.871826,,,current IterationLatencyCalculator,"breakdown={'total_ms': 7266.871826, 'context_non_attention_ms': 7266.871826, 'context_attention_ms': 0.0, 'generation_non_attention_ms': 0.0, 'generation_attention_ms': 0.0, 'iteration_overhead_ms': 0.0}"
track_b_coverage,K2.5-tp4ep8dp2-8k2k-bt65536,sim,serving_state_audit_counts,"{""hit"": 1}",representative shape covered,pass,vllm_serving_state_perf.txt query audit,"bounds=[('forward_total', 'forward_total', 13, 65536, 1, 56)]"
track_b_cost_replay,K2.5-tp4ep8dp2-8k2k-bt65536,real_trace,mixed_wall_share,0.253365,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_dp2_8k2k_bt65536/K2.5-tp4ep8dp2-8k2k-bt65536/serve.log,count=100
track_b_cost_replay,K2.5-tp4ep8dp2-8k2k-bt65536,sim_vs_real,mixed_representative_sim_over_real,0.501723,,,current IterationLatencyCalculator,ctx=6471; ctx_reqs=1; decode_batch=15; audit={'hit': 1}
track_b_cost_replay,K2.5-tp4ep8dp2-8k2k-bt65536,real_trace,prefill_wall_share,0.002808,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_dp2_8k2k_bt65536/K2.5-tp4ep8dp2-8k2k-bt65536/serve.log,count=2
track_b_cost_replay,K2.5-tp4ep8dp2-8k2k-bt65536,sim_vs_real,prefill_representative_sim_over_real,0.351699,,,current IterationLatencyCalculator,ctx=65536; ctx_reqs=9; decode_batch=0; audit={'table_missing': 6}
track_b_cost_replay,K2.5-tp4ep8dp2-8k2k-bt65536,real_trace,decode_wall_share,0.743827,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_dp2_8k2k_bt65536/K2.5-tp4ep8dp2-8k2k-bt65536/serve.log,count=75171
track_b_cost_replay,K2.5-tp4ep8dp2-8k2k-bt65536,sim_vs_real,decode_representative_sim_over_real,1.018334,,,current IterationLatencyCalculator,ctx=0; ctx_reqs=0; decode_batch=14; audit={'hit': 1}
track_b_large_step,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,large_real_over_sim_step_ratio,1.035168,,,,
track_b_large_step,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,large_coverage_miss_count,0,,,,
track_b_large_step,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,large_coverage_hit_count,1,,,,
track_b_large_step,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,large_verdict,large_mixed_step_cost_matched,,,,
track_b_attribution,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,observed_sim_wall_ratio,0.857049,,,,
track_b_attribution,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,cost_replay_factor,0.885571,,,,
track_b_attribution,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,residual_after_cost_replay,0.967794,,,,
track_b_attribution,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,modal_mixed_sim_over_real,0.501723,,,,
track_b_attribution,K2.5-tp4ep8dp2-8k2k-bt65536,real_vs_sim,verdict,mixed_step_undercharge_regime_hit_mismatch,,fail,,
track_b_coverage,K2.5-tp4ep8dp2-8k2k-bt65536,sim,forward_total_max_bt_regimes_in_shared_table,"8000,32000,65536",query keyed by max_bt,fail,src/aiconfigurator/systems/data/h200_sxm/vllm/0.19.0/vllm_serving_state_perf.txt,"DP2 query currently omits max_num_batched_tokens, so these regimes share one interpolation table"
scoreboard,K2.5-tp4ep8dp2-8k2k-bt65536,validate,current_error_ratio,1.166794,<=1.15,fail,docs/iter_gap_investigation/phase458_validate_ab.csv,sim=127.764; real=109.500
decision,K2.5-tp8ep8-32k3k,proposal,phase460_target,tp8_32k_mla_decode_cost_audit,red-to-green in a separate phase,proposed,Phase459 Track A,root=decode_cost_overcharge_dominates; no runtime change in Phase459
decision,bt65536,proposal,phase461_target,bt65536_regime_scoped_mixed_step_rows,red-to-green in a separate phase,proposed,Phase459 Track B,K2.5-tp8ep8-8k2k-bt65536=mixed_step_undercharge_table_missing; K2.5-tp4ep8dp2-8k2k-bt65536=mixed_step_undercharge_regime_hit_mismatch
decision,MULTI_CONFIG,gate,phase459_verdict,residuals_triaged_gate_unchanged,6/6 <=1.15 before tightening,fail,docs/iter_gap_investigation/phase458_validate_ab.csv,diagnostic_only=true; perf_database=false; Default AIC remains No-Go
