source,row_type,scenario,artifact_dir,phase,row_kind,category,bucket_tokens,decode_batch,step_count,latency_ms,elapsed_ms_mean,attention_ms_mean,baseline_value,candidate_value,reconstruction_error_pct,reconstruction_gate,coverage_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,10,2,1072.781126,1109.905000,37.123874,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,11,2,1072.631860,1109.870000,37.238140,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,12,2,1077.522594,1114.875000,37.352406,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,13,2,1076.953328,1114.420000,37.466672,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,14,2,1076.734061,1114.315000,37.580939,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,15,2,1076.669795,1114.365000,37.695205,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,16,2,1080.420529,1118.230000,37.809471,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,17,2,1078.873050,1116.880000,38.006950,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,18,2,1081.240572,1119.445000,38.204428,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,19,2,1075.843093,1114.245000,38.401907,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,20,2,1082.090615,1120.690000,38.599385,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,21,2,1081.668136,1120.465000,38.796864,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,22,2,1084.020657,1123.015000,38.994343,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
