scenario,section,dp_rank,phase_pair,bucket_tokens,decode_batch,count,busy_p50_ms,busy_p90_ms,decode_run_count,decode_run_max,decode_run_p50,decode_run_p90,decode_steps,metric,mixed_frequency,mixed_steps,share,target_high,target_low,tolerance,total_steps,wave_decode_batch_p50,wave_end_step,wave_mixed_steps,wave_prefill_tokens,wave_span_steps,wave_start_step
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,15,4,1112.7265014648438,1112.7587890625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,16,4,1116.5545654296875,1116.5830078125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,17,4,1116.5377807617188,1116.5609130859375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,18,4,1119.3245849609375,1119.3565673828125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,19,4,1114.2740478515625,1114.3095703125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,20,4,1120.7498779296875,1120.7869873046875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,21,4,1121.248291015625,1121.27587890625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,22,4,1121.8860473632812,1121.9180908203125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,23,4,1124.9100341796875,1124.94677734375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,24,4,1122.2906494140625,1122.3194580078125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,25,4,1126.971923828125,1126.9932861328125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,26,4,1121.761962890625,1121.7879638671875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,27,4,1124.8743896484375,1124.888427734375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,28,4,1122.3812255859375,1122.4053955078125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,29,4,1122.810546875,1122.83642578125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,30,4,1133.7886352539062,1133.817626953125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,31,4,1133.6130981445312,1133.645263671875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,32,4,1133.5471801757812,1133.574462890625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,33,4,1123.0274658203125,1123.0616455078125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,34,4,1127.2891845703125,1127.3134765625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,35,4,1125.3298950195312,1125.3563232421875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,36,4,1127.5457153320312,1127.5758056640625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,37,4,1124.5673217773438,1124.5927734375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,38,4,1126.0510864257812,1126.08203125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,39,4,1127.6211547851562,1127.654296875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,40,4,1123.8046264648438,1123.8392333984375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,41,144,1130.9364624023438,1133.149658203125,,,,,,,,,0.05217391304347826,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,42,224,1127.4302368164062,1130.9853515625,,,,,,,,,0.08115942028985507,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,43,272,1130.5197143554688,1133.24951171875,,,,,,,,,0.09855072463768116,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,44,124,1099.6551513671875,1125.865478515625,,,,,,,,,0.04492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,45,36,1127.4955444335938,1130.2523193359375,,,,,,,,,0.013043478260869565,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,46,36,1127.3759765625,1136.2232666015625,,,,,,,,,0.013043478260869565,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,47,40,1125.7348022460938,1134.0098876953125,,,,,,,,,0.014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,48,24,1129.584228515625,1134.7821044921875,,,,,,,,,0.008695652173913044,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,49,28,1129.813232421875,1133.1199951171875,,,,,,,,,0.010144927536231883,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,50,32,1129.3963623046875,1133.7733154296875,,,,,,,,,0.011594202898550725,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,51,28,1131.1762084960938,1133.1171875,,,,,,,,,0.010144927536231883,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,52,32,1130.2271118164062,1132.62744140625,,,,,,,,,0.011594202898550725,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,53,28,1130.3240356445312,1132.541748046875,,,,,,,,,0.010144927536231883,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,54,28,1125.7744140625,1130.908203125,,,,,,,,,0.010144927536231883,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,0,,8000,55,4,1130.6129150390625,1130.61767578125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,90,45,4,50.10688018798828,50.108768463134766,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,94,47,4,48.677743911743164,48.68092727661133,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,108,54,4,65.52886199951172,65.5308837890625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,138,47,4,65.17726516723633,65.17887878417969,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,163,55,4,65.46774673461914,65.47007751464844,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,225,54,4,74.13452911376953,74.13737487792969,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,240,46,4,71.08071899414062,71.0847396850586,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,312,53,4,87.68175888061523,87.68339538574219,,,,,,,,,0.0014492753623188406,,,,,,,,,,
