source,row_type,scenario,phase,category,bucket_tokens,decode_batch,metric,value,baseline_value,candidate_value,ratio,classification,window,reason,count,note
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,29,29,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,30,30,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,31,31,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,32,32,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,33,33,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,34,34,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,35,35,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,36,36,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,37,37,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,38,38,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,39,39,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,40,40,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,41,41,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,42,42,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,43,43,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,44,44,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,45,45,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,46,46,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,47,47,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,48,48,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,49,49,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,50,50,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,51,51,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,52,52,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,53,53,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,54,54,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,55,55,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,56,56,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,57,57,interpolation_gap,1,,,,miss,,,1,interpolation_gap
