source,row_type,scenario,artifact_dir,bucket_tokens,decode_batch,step_count,category_sum_ms,non_attn_total_ms,candidate_gap_ms,candidate_error_pct,attention_ms,peer_wait_ms,host_gap_upper_ms,attention_error_upper_ms,explained_ms,unexplained_ms,explained_share,coverage_band,missing_categories,explain_gate,high_batch_gate,life_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,24,2,,1084.950700,,,39.389300,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,25,2,,1086.358222,,,39.586778,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,26,2,,1081.620743,,,39.784257,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,27,2,,1084.923264,,,39.981736,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,28,2,,1083.515786,,,40.179214,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,29,2,,1083.308307,,,40.376693,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,30,2,,1093.665829,,,40.574171,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,31,2,,1095.278350,,,40.771650,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,32,2,,1095.875872,,,40.969128,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,33,2,,1085.323474,,,41.166526,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,34,2,,1087.446076,,,41.363924,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,35,2,,1084.938677,,,41.561323,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,36,2,,1086.561279,,,41.758721,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,37,2,,1085.023881,,,41.956119,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,38,2,,1085.016483,,,42.153517,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,39,2,,1088.124085,,,42.350915,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,40,2,,1083.731687,,,42.548313,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
