alignment_key,alignment_key_type,dp_rank,scenario,phase,topology_key,cb_engine_step_id,cb_iter_index,cb_scheduled_context_tokens,cb_scheduled_decode_tokens,cb_scheduled_total_tokens,cb_scheduled_context_reqs,cb_scheduled_decode_reqs,cb_scheduled_total_reqs,cb_forward_token_count,cb_forward_regime,cb_cudagraph_runtime_mode,vllm_engine_step_id,vllm_iter_index,vllm_scheduled_context_tokens,vllm_scheduled_decode_tokens,vllm_scheduled_total_tokens,vllm_scheduled_context_reqs,vllm_scheduled_decode_reqs,vllm_scheduled_total_reqs,vllm_forward_token_count,vllm_forward_regime,vllm_cudagraph_runtime_mode,scheduled_context_token_delta,scheduled_decode_token_delta,scheduled_total_token_delta,scheduled_context_req_delta,scheduled_decode_req_delta,scheduled_total_req_delta,forward_token_delta,same_phase,same_topology_key,same_scheduled_total_tokens,same_scheduled_total_reqs,same_forward_token_count,same_forward_regime,same_cudagraph_runtime_mode,valid_for_default,perf_database,diagnostic_only
engine_dp:0:step:43,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,43,43,0,8,8,0,8,8,8,FULL:8,FULL,43,43,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:44,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,44,44,0,8,8,0,8,8,8,FULL:8,FULL,44,44,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:45,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,45,45,0,8,8,0,8,8,8,FULL:8,FULL,45,45,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:46,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,46,46,0,8,8,0,8,8,8,FULL:8,FULL,46,46,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:47,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,47,47,0,8,8,0,8,8,8,FULL:8,FULL,47,47,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:48,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,48,48,0,8,8,0,8,8,8,FULL:8,FULL,48,48,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:49,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,49,49,0,8,8,0,8,8,8,FULL:8,FULL,49,49,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:50,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,50,50,0,8,8,0,8,8,8,FULL:8,FULL,50,50,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:51,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,51,51,0,8,8,0,8,8,8,FULL:8,FULL,51,51,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:52,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,52,52,0,8,8,0,8,8,8,FULL:8,FULL,52,52,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
