start_index	end_index	duration_s	iteration_count_delta	iteration_tokens_delta	avg_tokens_per_iter	avg_iter_latency_ms	prompt_tokens_delta	generation_tokens_delta	generation_tok_s	request_success_delta	preemptions_delta
34	35	1.133559542009607	178.0	1422.0	7.98876404494382	6.368312033761836	0.0	1440.0	1270.3346817116696	0.0	0.0
35	36	1.0755692079546861	178.0	1426.0	8.01123595505618	6.042523640194866	0.0	1440.0	1338.8259810248003	0.0	0.0
36	37	1.0811597920255736	176.0	1408.0	8.0	6.142953363781668	0.0	1376.0	1272.7073372031693	0.0	0.0
37	38	1.1015035409945995	168.0	1344.0	8.0	6.556568696396425	0.0	1344.0	1220.150412577375	0.0	0.0
38	39	1.1057595419697464	176.0	1408.0	8.0	6.28272467028265	0.0	1408.0	1273.3328961302539	0.0	0.0
39	40	1.0798156250384636	176.0	1408.0	8.0	6.1353160513549065	0.0	1408.0	1303.9263068172831	0.0	0.0
40	41	1.1124996669823304	170.0	1358.0	7.988235294117647	6.544115688131355	0.0	1376.0	1236.854302826371	0.0	0.0
41	42	1.1790447910316288	178.0	1426.0	8.01123595505618	6.623847140627128	0.0	1408.0	1194.1870323416995	0.0	0.0
42	43	1.107161374995485	184.0	1472.0	8.0	6.017181385845027	0.0	1472.0	1329.5261497051438	0.0	0.0
43	44	1.0667154589900747	176.0	1408.0	8.0	6.060883289716333	0.0	1408.0	1319.9396222616297	0.0	0.0
44	45	1.1185667079989798	172.0	1376.0	8.0	6.503294813947557	0.0	1376.0	1230.1456767487264	0.0	0.0
45	46	1.1293380829738453	172.0	1376.0	8.0	6.56591908705724	0.0	1376.0	1218.4128214082968	0.0	0.0
46	47	1.1021051250281744	180.0	1440.0	8.0	6.122806250156525	0.0	1440.0	1306.5904216380336	0.0	0.0
47	48	1.1363301670062356	172.0	1376.0	8.0	6.6065707384083465	0.0	1376.0	1210.9156651408773	0.0	0.0
48	49	1.1275731250061654	180.0	1440.0	8.0	6.264295138923141	0.0	1440.0	1277.0790364413185	0.0	0.0
49	50	1.0766241669771262	176.0	1408.0	8.0	6.11718276691549	0.0	1408.0	1307.7915610544846	0.0	0.0
50	51	1.1049711250234395	168.0	1344.0	8.0	6.5772090775204735	0.0	1344.0	1216.3213766979568	0.0	0.0
51	52	1.0961535410024226	176.0	1408.0	8.0	6.228145119331947	0.0	1408.0	1284.4915856517662	0.0	0.0
52	53	1.0779840420000255	172.0	1376.0	8.0	6.267349081395497	0.0	1376.0	1276.4567436889454	0.0	0.0
53	54	1.0972567499848083	168.0	1344.0	8.0	6.531290178481002	0.0	1344.0	1224.8728476891192	0.0	0.0
54	55	1.1221355000161566	176.0	1408.0	8.0	6.375769886455435	0.0	1408.0	1254.7504289631042	0.0	0.0
55	56	1.0957472499576397	172.0	1376.0	8.0	6.370623546265347	0.0	1376.0	1255.7640459998368	0.0	0.0
56	57	1.0967789170099422	172.0	1376.0	8.0	6.37662161052292	0.0	1376.0	1254.582832200381	0.0	0.0
57	58	1.1033857080037706	172.0	1376.0	8.0	6.415033186068434	0.0	1376.0	1247.070711555109	0.0	0.0
58	59	1.1854869169765152	172.0	1376.0	8.0	6.892365796375088	0.0	1376.0	1160.7045006530923	0.0	0.0
59	60	1.169713416020386	188.0	1504.0	8.0	6.221879872448861	0.0	1504.0	1285.7850302486297	0.0	0.0
60	61	1.1401663750293665	188.0	1504.0	8.0	6.0647147607945024	0.0	1504.0	1319.1057313554459	0.0	0.0
61	62	1.1549185839830898	172.0	1376.0	8.0	6.714642930134243	0.0	1376.0	1191.4259750279914	0.0	0.0
62	63	1.143779625010211	122.0	694.0	5.688524590163935	9.37524282795255	0.0	694.0	606.7602401938261	32.0	0.0
63	64	0.09194087499054149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
