-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                               cudaEventRecordWithFlags         0.01%      94.795us         0.01%      94.795us       0.903us      26.112us         0.00%      26.112us       0.249us           105
                    cudaThreadExchangeStreamCaptureMode         0.00%      25.571us         0.00%      25.571us       0.220us      21.600us         0.00%      21.600us       0.186us           116
                                         cudaEventQuery         0.03%     363.568us         0.03%     365.432us       1.855us       9.664us         0.00%       9.664us       0.049us           197
                                        cudaEventRecord         0.02%     188.078us         0.02%     188.078us       0.896us       8.865us         0.00%       8.865us       0.042us           210
                                   cudaDriverGetVersion         0.00%       2.841us         0.00%       2.841us       0.081us       4.128us         0.00%       4.128us       0.118us            35
                                    cudaStreamWaitEvent         0.01%     139.752us         0.01%     139.752us       0.998us       3.264us         0.00%       3.264us       0.023us           140
                                        cudaGraphLaunch         7.47%      92.239ms         7.76%      95.907ms       2.740ms       2.816us         0.00%      17.792us       0.508us            35
                                Activity Buffer Request         0.42%       5.186ms         0.42%       5.186ms       1.729ms       1.695us         0.00%       1.695us       0.565us             3
                                   cudaEventSynchronize         0.01%     164.240us         0.01%     164.240us       4.693us       1.248us         0.00%       1.248us       0.036us            35
                                          ProfilerStep*        80.76%     997.844ms        97.26%        1.202s      34.335ms       0.000us         0.00%      17.654ms     504.387us            35
                 execute_context_0(0)_generation_56(56)         4.67%      57.688ms        16.02%     197.981ms       5.657ms       0.000us         0.00%      15.315ms     437.570us            35
                                            aten::slice         0.29%       3.604ms         0.36%       4.448ms       2.310us       0.000us         0.00%       0.000us       0.000us          1925
                                       aten::as_strided         0.12%       1.428ms         0.12%       1.428ms       0.486us       0.000us         0.00%       0.000us       0.000us          2940
                                        cudaMemcpyAsync         0.28%       3.437ms         0.28%       3.437ms       6.546us       0.000us         0.00%       0.000us       0.000us           525
                                       aten::lift_fresh         0.00%      44.047us         0.00%      44.047us       0.140us       0.000us         0.00%       0.000us       0.000us           315
                                          aten::flatten         0.01%      84.316us         0.01%     178.110us       5.089us       0.000us         0.00%       0.000us       0.000us            35
                                             aten::view         0.03%     356.475us         0.03%     356.475us       1.273us       0.000us         0.00%       0.000us       0.000us           280
                                     aten::index_select         0.04%     542.694us         0.14%       1.701ms      24.303us       0.000us         0.00%      69.021us       0.986us            70
                                           aten::detach         0.01%     118.004us         0.01%     118.004us       1.686us       0.000us         0.00%       0.000us       0.000us            70
                                               aten::to         0.05%     559.857us         0.63%       7.747ms      15.810us       0.000us         0.00%       1.309ms       2.671us           490
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 1.236s
Self CUDA time total: 1.241s
